id,fecha,producto,unidades,precio,subtotal,tasa_iva,iva,total,departamento
138,2/3/20,Bebidas,8,113,904,0%,0,904,Lavalleja
139,28/5/19,Limpieza,1,419,419,22%,92.18,511.18,Montevideo
140,16/7/20,Alimentos,2,414,828,22%,182.16,1010.16,Durazno
141,4/2/20,Alimentos,10,274,2740,10%,274,3014,Rivera
142,25/8/19,Limpieza,10,495,4950,10%,495,5445,Canelones
143,21/7/19,Higiene,4,85,340,22%,74.8,414.8,Treinta y Tres
144,10/5/20,Alimentos,4,366,1464,0%,0,1464,Montevideo
145,15/11/19,Higiene,7,97,679,22%,149.38,828.38,Maldonado
146,21/8/19,Limpieza,1,73,73,0%,0,73,Tacuarembó
147,3/9/19,Higiene,7,305,2135,10%,213.5,2348.5,Salto
148,20/5/19,Bebidas,8,368,2944,22%,647.68,3591.68,Montevideo
149,30/3/20,Alimentos,8,159,1272,0%,0,1272,Colonia
150,4/9/19,Otros,4,324,1296,22%,285.12,1581.12,Lavalleja
151,25/5/20,Bebidas,7,175,1225,10%,122.5,1347.5,Rivera
152,18/4/20,Limpieza,2,196,392,0%,0,392,San José
153,14/6/19,Alimentos,4,379,1516,10%,151.6,1667.6,Artigas
154,11/5/19,Alimentos,1,380,380,10%,38,418,Colonia
155,20/10/19,Alimentos,3,131,393,10%,39.3,432.3,Rocha
156,25/4/20,Higiene,8,209,1672,22%,367.84,2039.84,Montevideo
157,29/1/20,Higiene,2,332,664,0%,0,664,Lavalleja
158,21/1/19,Alimentos,3,60,180,0%,0,180,San José
159,12/4/19,Limpieza,1,480,480,22%,105.6,585.6,Flores
160,12/8/19,Bebidas,7,290,2030,0%,0,2030,Río Negro
161,1/7/19,Alimentos,4,242,968,0%,0,968,San José
162,10/11/19,Otros,9,71,639,10%,63.9,702.9,Río Negro
163,13/8/19,Alimentos,8,73,584,0%,0,584,San José
164,31/3/20,Alimentos,4,170,680,22%,149.6,829.6,Montevideo
165,14/3/20,Limpieza,8,460,3680,22%,809.6,4489.6,Lavalleja
166,30/9/19,Alimentos,1,357,357,22%,78.54,435.54,Paysandú
167,26/11/19,Bebidas,4,347,1388,10%,138.8,1526.8,Maldonado
168,30/10/19,Alimentos,4,286,1144,22%,251.68,1395.68,Paysandú
169,20/4/19,Bebidas,8,457,3656,22%,804.32,4460.32,Salto
170,13/3/19,Higiene,8,41,328,10%,32.8,360.8,Durazno
171,8/4/19,Limpieza,3,256,768,0%,0,768,Rivera
172,8/11/19,Bebidas,10,90,900,0%,0,900,Lavalleja
173,4/9/20,Bebidas,8,329,2632,0%,0,2632,San José
174,13/6/19,Limpieza,4,84,336,10%,33.6,369.6,Paysandú
175,10/5/19,Limpieza,4,243,972,0%,0,972,Canelones
176,13/11/19,Higiene,6,62,372,0%,0,372,Canelones
177,30/10/19,Limpieza,5,15,75,0%,0,75,Tacuarembó
178,17/1/20,Limpieza,1,396,396,22%,87.12,483.12,Rocha
179,15/7/19,Alimentos,5,371,1855,22%,408.1,2263.1,Río Negro
180,30/1/20,Bebidas,3,158,474,0%,0,474,San José
181,16/6/20,Higiene,4,203,812,0%,0,812,Artigas
182,25/5/19,Higiene,7,207,1449,10%,144.9,1593.9,Lavalleja
183,18/9/20,Limpieza,3,29,87,10%,8.7,95.7,Canelones
184,1/5/19,Higiene,1,175,175,22%,38.5,213.5,Lavalleja
185,18/5/20,Otros,3,444,1332,22%,293.04,1625.04,Colonia
186,16/3/19,Higiene,9,489,4401,22%,968.22,5369.22,Río Negro
187,19/2/20,Bebidas,10,262,2620,0%,0,2620,Durazno
188,27/9/19,Alimentos,10,404,4040,22%,888.8,4928.8,Tacuarembó
189,30/1/20,Bebidas,8,126,1008,10%,100.8,1108.8,Rocha
190,3/9/19,Otros,9,498,4482,10%,448.2,4930.2,Montevideo
191,11/3/20,Bebidas,8,172,1376,22%,302.72,1678.72,Treinta y Tres
192,30/9/19,Alimentos,3,301,903,0%,0,903,Treinta y Tres
193,22/10/19,Limpieza,2,290,580,0%,0,580,Flores
194,4/6/19,Alimentos,8,449,3592,0%,0,3592,Canelones
195,8/12/19,Higiene,2,484,968,10%,96.8,1064.8,Colonia
196,29/1/19,Higiene,4,107,428,22%,94.16,522.16,Río Negro
197,6/4/19,Alimentos,1,298,298,10%,29.8,327.8,San José
198,28/8/19,Limpieza,7,372,2604,22%,572.88,3176.88,Maldonado
199,19/6/20,Bebidas,9,145,1305,22%,287.1,1592.1,Flores
200,30/6/20,Higiene,7,328,2296,0%,0,2296,Florida
201,4/7/19,Bebidas,9,202,1818,0%,0,1818,Río Negro
202,16/7/19,Bebidas,1,484,484,22%,106.48,590.48,Rocha
203,14/9/19,Alimentos,2,68,136,0%,0,136,Treinta y Tres
204,31/1/20,Limpieza,10,55,550,22%,121,671,Tacuarembó
205,23/1/20,Limpieza,2,11,22,22%,4.84,26.84,Florida
206,11/2/20,Limpieza,3,17,51,10%,5.1,56.1,Florida
207,30/10/19,Alimentos,2,357,714,22%,157.08,871.08,Treinta y Tres
208,4/8/20,Otros,5,393,1965,22%,432.3,2397.3,Rivera
209,16/1/19,Alimentos,4,252,1008,10%,100.8,1108.8,Artigas
210,22/1/19,Otros,4,249,996,0%,0,996,Montevideo
211,27/9/19,Limpieza,6,329,1974,10%,197.4,2171.4,Colonia
212,6/3/20,Alimentos,3,300,900,10%,90,990,Soriano
213,27/4/19,Higiene,10,164,1640,10%,164,1804,Tacuarembó
214,10/9/19,Bebidas,5,301,1505,0%,0,1505,Maldonado
215,3/3/20,Otros,2,284,568,10%,56.8,624.8,Flores
216,25/5/20,Otros,4,225,900,10%,90,990,Lavalleja
217,25/8/20,Alimentos,9,181,1629,10%,162.9,1791.9,Canelones
218,9/6/19,Otros,10,392,3920,10%,392,4312,Canelones
219,30/3/20,Alimentos,7,387,2709,22%,595.98,3304.98,Rocha
220,3/9/20,Otros,4,226,904,22%,198.88,1102.88,Maldonado
221,11/3/19,Alimentos,8,418,3344,10%,334.4,3678.4,Río Negro
222,14/6/20,Bebidas,7,421,2947,0%,0,2947,Artigas
223,28/3/20,Alimentos,9,129,1161,10%,116.1,1277.1,Maldonado
224,23/2/20,Otros,8,75,600,22%,132,732,Tacuarembó
225,4/1/20,Limpieza,3,425,1275,22%,280.5,1555.5,San José
226,24/3/19,Otros,4,431,1724,10%,172.4,1896.4,Artigas
227,22/7/19,Limpieza,8,388,3104,10%,310.4,3414.4,Paysandú
228,21/7/20,Bebidas,5,478,2390,22%,525.8,2915.8,Durazno
229,16/4/20,Otros,5,414,2070,0%,0,2070,Florida
230,23/6/20,Otros,5,232,1160,10%,116,1276,Treinta y Tres
231,16/2/20,Alimentos,1,71,71,10%,7.1,78.1,Cerro Largo
232,19/9/20,Otros,3,291,873,10%,87.3,960.3,Durazno
233,3/11/19,Otros,7,474,3318,0%,0,3318,Florida
234,4/4/20,Higiene,4,296,1184,10%,118.4,1302.4,Soriano
235,1/9/19,Limpieza,6,279,1674,10%,167.4,1841.4,San José
236,8/5/20,Bebidas,5,448,2240,10%,224,2464,Colonia
237,27/2/20,Otros,10,119,1190,10%,119,1309,Canelones
238,30/4/19,Higiene,2,188,376,0%,0,376,San José
239,23/1/19,Otros,8,162,1296,0%,0,1296,Maldonado
240,23/2/20,Bebidas,4,461,1844,10%,184.4,2028.4,Tacuarembó
241,21/9/19,Higiene,5,451,2255,22%,496.1,2751.1,Rocha
242,14/8/19,Alimentos,8,244,1952,22%,429.44,2381.44,Montevideo
243,26/7/20,Higiene,10,427,4270,10%,427,4697,Lavalleja
244,23/9/19,Higiene,6,444,2664,10%,266.4,2930.4,Rivera
245,10/10/19,Higiene,5,247,1235,22%,271.7,1506.7,Artigas
246,15/6/19,Alimentos,2,397,794,22%,174.68,968.68,San José
247,8/12/19,Alimentos,1,123,123,0%,0,123,Colonia
248,7/7/19,Limpieza,8,332,2656,0%,0,2656,Montevideo
249,15/9/20,Higiene,9,233,2097,10%,209.7,2306.7,Rocha
250,29/10/19,Bebidas,1,197,197,22%,43.34,240.34,Montevideo
251,13/9/19,Alimentos,8,334,2672,10%,267.2,2939.2,Rivera
252,11/6/20,Limpieza,1,241,241,22%,53.02,294.02,Artigas
253,5/8/19,Otros,9,253,2277,10%,227.7,2504.7,Colonia
254,2/12/19,Limpieza,7,301,2107,10%,210.7,2317.7,Salto
255,5/6/19,Higiene,7,122,854,10%,85.4,939.4,Montevideo
256,24/6/19,Limpieza,6,343,2058,22%,452.76,2510.76,Soriano
257,1/4/19,Alimentos,3,113,339,10%,33.9,372.9,Tacuarembó
258,16/3/19,Alimentos,4,29,116,22%,25.52,141.52,Soriano
259,22/7/20,Alimentos,2,25,50,10%,5,55,Colonia
260,7/1/19,Otros,10,146,1460,0%,0,1460,Río Negro
261,30/4/19,Alimentos,4,243,972,0%,0,972,Lavalleja
262,4/7/19,Otros,9,149,1341,22%,295.02,1636.02,Canelones
263,24/7/19,Bebidas,6,111,666,22%,146.52,812.52,Lavalleja
264,4/6/19,Alimentos,8,496,3968,22%,872.96,4840.96,Flores
265,22/3/20,Otros,1,283,283,0%,0,283,Río Negro
266,7/9/20,Otros,4,227,908,22%,199.76,1107.76,Flores
267,27/5/19,Bebidas,2,49,98,10%,9.8,107.8,Lavalleja
268,28/12/19,Alimentos,4,139,556,22%,122.32,678.32,Cerro Largo
269,25/5/19,Higiene,2,44,88,10%,8.8,96.8,Artigas
270,1/10/19,Alimentos,1,365,365,10%,36.5,401.5,Rocha
271,20/5/19,Bebidas,4,440,1760,10%,176,1936,Rocha
272,6/8/19,Higiene,10,97,970,22%,213.4,1183.4,Salto
273,16/1/20,Bebidas,10,21,210,0%,0,210,Colonia
274,28/7/19,Alimentos,10,270,2700,0%,0,2700,Rocha
275,13/9/19,Higiene,1,212,212,10%,21.2,233.2,Lavalleja
276,2/6/19,Limpieza,8,242,1936,10%,193.6,2129.6,Artigas
277,5/5/19,Otros,4,216,864,10%,86.4,950.4,Durazno
278,2/7/20,Higiene,4,203,812,0%,0,812,Florida
279,22/4/19,Higiene,5,164,820,10%,82,902,Soriano
280,9/10/19,Higiene,8,149,1192,22%,262.24,1454.24,Treinta y Tres
281,3/10/19,Otros,10,321,3210,10%,321,3531,Cerro Largo
282,4/4/20,Limpieza,1,398,398,10%,39.8,437.8,Rivera
283,27/12/19,Alimentos,4,211,844,0%,0,844,Salto
284,22/4/20,Limpieza,2,393,786,10%,78.6,864.6,Florida
285,25/7/20,Higiene,5,311,1555,0%,0,1555,Canelones
286,22/1/20,Limpieza,5,331,1655,0%,0,1655,Rocha
287,8/4/20,Higiene,2,479,958,22%,210.76,1168.76,Colonia
288,14/12/19,Alimentos,3,160,480,22%,105.6,585.6,Cerro Largo
289,20/3/19,Limpieza,9,213,1917,22%,421.74,2338.74,Tacuarembó
290,3/10/19,Alimentos,7,154,1078,0%,0,1078,Río Negro
291,2/12/19,Alimentos,6,41,246,0%,0,246,Treinta y Tres
292,23/3/20,Bebidas,3,247,741,22%,163.02,904.02,Rocha
293,5/3/19,Limpieza,7,431,3017,10%,301.7,3318.7,Colonia
294,22/7/20,Alimentos,4,112,448,0%,0,448,Tacuarembó
295,26/9/20,Otros,10,164,1640,0%,0,1640,Cerro Largo
296,24/4/19,Bebidas,3,362,1086,0%,0,1086,Treinta y Tres
297,1/9/20,Limpieza,5,239,1195,22%,262.9,1457.9,Cerro Largo
298,1/10/19,Higiene,4,230,920,10%,92,1012,Soriano
299,13/10/19,Alimentos,2,95,190,22%,41.8,231.8,Lavalleja
300,23/5/19,Otros,8,430,3440,10%,344,3784,Rocha
301,9/3/20,Higiene,6,299,1794,22%,394.68,2188.68,Paysandú
302,7/8/19,Higiene,8,99,792,22%,174.24,966.24,Salto
303,13/2/19,Limpieza,7,189,1323,22%,291.06,1614.06,Rivera
304,2/1/19,Higiene,6,276,1656,22%,364.32,2020.32,Río Negro
305,16/5/19,Bebidas,4,490,1960,22%,431.2,2391.2,Colonia
306,6/3/20,Bebidas,2,298,596,22%,131.12,727.12,Lavalleja
307,11/8/20,Higiene,10,433,4330,22%,952.6,5282.6,Durazno
308,1/3/20,Otros,5,212,1060,22%,233.2,1293.2,Lavalleja
309,31/3/19,Otros,5,233,1165,10%,116.5,1281.5,Salto
310,16/1/19,Otros,4,269,1076,10%,107.6,1183.6,Cerro Largo
311,30/3/19,Alimentos,7,194,1358,22%,298.76,1656.76,Flores
312,1/1/20,Limpieza,9,96,864,0%,0,864,Cerro Largo
313,2/5/20,Limpieza,4,478,1912,22%,420.64,2332.64,Paysandú
314,23/2/20,Higiene,9,411,3699,22%,813.78,4512.78,Canelones
315,2/9/20,Bebidas,3,11,33,22%,7.26,40.26,San José
316,5/9/19,Bebidas,10,133,1330,10%,133,1463,Flores
317,16/3/20,Limpieza,1,478,478,22%,105.16,583.16,Canelones
318,8/4/20,Alimentos,4,446,1784,0%,0,1784,Salto
319,31/7/19,Alimentos,6,440,2640,10%,264,2904,Soriano
320,4/4/19,Otros,3,413,1239,22%,272.58,1511.58,Flores
321,14/4/19,Alimentos,4,389,1556,0%,0,1556,Río Negro
322,28/7/19,Bebidas,4,469,1876,0%,0,1876,Salto
323,4/3/20,Bebidas,2,386,772,22%,169.84,941.84,Artigas
324,9/2/20,Bebidas,4,76,304,0%,0,304,Cerro Largo
325,12/2/19,Alimentos,3,50,150,10%,15,165,Treinta y Tres
326,6/4/19,Bebidas,5,328,1640,0%,0,1640,Paysandú
327,9/5/19,Alimentos,4,449,1796,10%,179.6,1975.6,Montevideo
328,13/5/20,Higiene,9,118,1062,0%,0,1062,Montevideo
329,30/5/20,Limpieza,2,11,22,22%,4.84,26.84,Artigas
330,28/11/19,Bebidas,1,385,385,22%,84.7,469.7,Artigas
331,17/8/19,Higiene,5,267,1335,22%,293.7,1628.7,Durazno
332,27/12/19,Higiene,3,200,600,0%,0,600,Maldonado
333,13/6/20,Higiene,5,437,2185,10%,218.5,2403.5,Treinta y Tres
334,16/1/20,Otros,9,332,2988,22%,657.36,3645.36,Tacuarembó
335,30/8/19,Limpieza,10,411,4110,10%,411,4521,Montevideo
336,6/2/19,Bebidas,1,97,97,0%,0,97,Río Negro
337,21/8/20,Bebidas,8,473,3784,22%,832.48,4616.48,Durazno
338,12/4/19,Bebidas,5,43,215,22%,47.3,262.3,Tacuarembó
339,6/11/19,Alimentos,7,189,1323,10%,132.3,1455.3,Cerro Largo
340,22/7/19,Bebidas,3,242,726,22%,159.72,885.72,Salto
341,9/2/20,Otros,1,442,442,0%,0,442,San José
342,25/1/19,Bebidas,6,53,318,10%,31.8,349.8,Montevideo
343,7/11/19,Alimentos,3,394,1182,22%,260.04,1442.04,Salto
344,10/3/19,Higiene,8,131,1048,22%,230.56,1278.56,Lavalleja
345,30/7/20,Alimentos,6,238,1428,0%,0,1428,Lavalleja
346,13/8/20,Otros,6,236,1416,22%,311.52,1727.52,Rivera
347,16/2/20,Bebidas,6,262,1572,10%,157.2,1729.2,Canelones
348,2/4/20,Higiene,10,423,4230,10%,423,4653,Lavalleja
349,14/11/19,Otros,4,362,1448,10%,144.8,1592.8,Tacuarembó
350,2/11/19,Alimentos,5,202,1010,10%,101,1111,Soriano
351,29/8/20,Bebidas,3,292,876,10%,87.6,963.6,Cerro Largo
352,12/8/20,Bebidas,3,334,1002,22%,220.44,1222.44,Durazno
353,21/3/20,Bebidas,6,77,462,10%,46.2,508.2,Lavalleja
354,20/4/20,Higiene,5,378,1890,22%,415.8,2305.8,Cerro Largo
355,5/7/19,Alimentos,3,140,420,10%,42,462,San José
356,19/9/19,Limpieza,10,319,3190,22%,701.8,3891.8,San José
357,29/6/20,Higiene,9,199,1791,10%,179.1,1970.1,Colonia
358,21/4/19,Otros,9,464,4176,10%,417.6,4593.6,Tacuarembó
359,12/3/19,Alimentos,3,337,1011,22%,222.42,1233.42,Flores
360,4/3/19,Alimentos,4,496,1984,22%,436.48,2420.48,Artigas
361,23/9/19,Limpieza,6,247,1482,0%,0,1482,San José
362,18/1/20,Higiene,5,449,2245,0%,0,2245,Tacuarembó
363,30/3/20,Bebidas,1,495,495,10%,49.5,544.5,Lavalleja
364,15/2/20,Higiene,6,363,2178,0%,0,2178,Maldonado
365,4/12/19,Alimentos,10,119,1190,22%,261.8,1451.8,Salto
366,19/5/19,Higiene,9,18,162,22%,35.64,197.64,Canelones
367,21/7/20,Otros,6,106,636,10%,63.6,699.6,Flores
368,3/12/19,Limpieza,5,114,570,22%,125.4,695.4,Artigas
369,12/11/19,Bebidas,3,53,159,22%,34.98,193.98,Soriano
370,16/4/19,Higiene,8,356,2848,10%,284.8,3132.8,Colonia
371,23/9/20,Alimentos,3,476,1428,0%,0,1428,Colonia
372,7/6/19,Otros,1,480,480,22%,105.6,585.6,Colonia
373,30/12/19,Otros,9,315,2835,0%,0,2835,Durazno
374,12/8/20,Otros,5,489,2445,0%,0,2445,Río Negro
375,11/10/19,Bebidas,9,77,693,10%,69.3,762.3,Florida
376,13/9/20,Alimentos,5,244,1220,10%,122,1342,Lavalleja
377,20/1/19,Alimentos,6,216,1296,22%,285.12,1581.12,Cerro Largo
378,22/2/19,Alimentos,6,222,1332,10%,133.2,1465.2,Treinta y Tres
379,22/3/19,Alimentos,1,166,166,0%,0,166,Paysandú
380,30/10/19,Limpieza,1,27,27,10%,2.7,29.7,Durazno
381,1/9/20,Bebidas,3,495,1485,10%,148.5,1633.5,Durazno
382,14/7/20,Otros,2,155,310,0%,0,310,Florida
383,7/1/19,Otros,4,24,96,0%,0,96,Durazno
384,21/12/19,Otros,10,169,1690,10%,169,1859,Rivera
385,18/4/19,Higiene,6,416,2496,10%,249.6,2745.6,Cerro Largo
386,13/8/20,Alimentos,7,200,1400,0%,0,1400,Rivera
387,24/9/20,Bebidas,1,280,280,10%,28,308,Paysandú
388,17/2/19,Limpieza,2,376,752,10%,75.2,827.2,Rocha
389,25/7/19,Limpieza,1,132,132,22%,29.04,161.04,Durazno
390,12/6/20,Alimentos,8,129,1032,10%,103.2,1135.2,Rivera
